,precision,recall,f1-score,support
Real,0.5607476635514018,0.46272493573264784,0.5070422535211268,389.0
Fake,0.6469594594594594,0.7309160305343512,0.6863799283154122,524.0
accuracy,0.6166484118291348,0.6166484118291348,0.6166484118291348,0.6166484118291348
macro avg,0.6038535615054306,0.5968204831334996,0.5967110909182695,913.0
weighted avg,0.610227379932368,0.6166484118291348,0.6099699003910123,913.0
