,precision,recall,f1-score,support
Real,0.553072625698324,0.5089974293059126,0.5301204819277109,389.0
Fake,0.6558558558558558,0.6946564885496184,0.6746987951807228,524.0
accuracy,0.615553121577218,0.615553121577218,0.615553121577218,0.615553121577218
macro avg,0.6044642407770899,0.6018269589277655,0.6024096385542168,913.0
weighted avg,0.6120632200056041,0.615553121577218,0.6130986157114768,913.0
